Body Part,Prediction
chest circ,129.35162
waist circ,112.67658
pelvis circ,138.5482
neck circ,44.042023
bicep circ,35.484478
thigh circ,77.35016
knee circ,49.124596
arm length,63.111187
leg length,98.255005
calf length,52.05
head circ,66.79204
wrist circ,20.613186
arm span,207.54314
shoulders width,45.955635
torso length,68.44388
inner leg,91.93431
